,feature,support,ranking,mean score,std score
0,P_2,True,1,0.4084952539199369,0.049605930299255266
222,D_39_6_periods_max,True,1,0.7822936250970501,0.0020886727754856117
223,B_2_3_periods_logmean,True,1,0.7824728839682196,0.001626175263388008
224,R_1_13_periods_logmean,True,1,0.7824778328116986,0.0016811928042477441
225,S_3_13_periods_max,True,1,0.7824771323103683,0.0016800505031818816
226,D_41_3_periods_logmax,True,1,0.7827289944652913,0.0017652605786130714
227,B_3_3_periods_logmax,True,1,0.7828405197132953,0.0020650754088527012
228,D_42_13_periods_max,True,1,0.7828405129824667,0.0020650831303188886
229,D_43_13_periods_max,True,1,0.7828405155560137,0.002065069895413974
210,D_64_O,True,1,0.78253969183923,0.0018549467923371175
231,D_45_13_periods_logmedian,True,1,0.7826048141459914,0.0018163643741892074
234,D_46_13_periods_mean,True,1,0.7824632745634874,0.0012997783681456686
235,D_47_13_periods_min,True,1,0.7825559448026466,0.0014506320396490394
236,D_48_3_periods_mean,True,1,0.7824555296372117,0.0014634844442562628
238,B_6_13_periods_min,True,1,0.7820949459901784,0.002049259155235035
239,B_8_13_periods_min,True,1,0.7822088821146091,0.0019124388722994879
241,D_51_13_periods_logsum,True,1,0.7822047818474592,0.0019122894733054113
242,B_9_3_periods_min,True,1,0.7822047830352564,0.0019122902649522412
243,R_3_13_periods_mean,True,1,0.7821943200476111,0.0018951629431952588
232,B_5_6_periods_logmax,True,1,0.7827630034484848,0.0017387755800285492
244,D_52_13_periods_min,True,1,0.7822047817484798,0.0019122920706616327
204,D_63_CO,True,1,0.7819271021982512,0.0023694125834649482
165,D_134,True,1,0.7828702988137455,0.0019448833310429844
98,B_29,True,1,0.7814797476254566,0.0021711315950679938
124,S_23,True,1,0.782316922398999,0.0019380973696701868
125,S_24,True,1,0.7821909888064909,0.0020196050188516267
126,S_25,True,1,0.7826743628026998,0.0023675994625138126
131,D_105,True,1,0.7828053237212138,0.0018479089331040692
135,B_37,True,1,0.7831530304170589,0.0022786142234702423
137,R_27,True,1,0.7829715868939898,0.0021751254456208106
140,D_110,True,1,0.7829257751216574,0.002019656682991928
171,D_140,True,1,0.7827782286405803,0.0015258110539117062
141,D_111,True,1,0.7826017048711627,0.0019075047779259682
144,B_40,True,1,0.7832623261820626,0.0021396844442365406
149,D_119,True,1,0.782963754179844,0.002429631669785333
150,D_121,True,1,0.7822997867705579,0.00238069688423707
151,D_122,True,1,0.7820108349368283,0.0019460247985553546
153,D_124,True,1,0.7829157764587773,0.0018046155027456748
157,D_129,True,1,0.7826701499944445,0.0020086081844475504
161,D_131,True,1,0.7827462139605621,0.0016979949439234687
162,D_132,True,1,0.7825898792984982,0.001682069165693065
143,D_112,True,1,0.782265693911544,0.0019448319347801664
245,P_3_6_periods_min,True,1,0.7822047831342358,0.0019122902161533392
246,B_10_6_periods_min,True,1,0.782204938636227,0.0019122962526321038
247,D_53_6_periods_std,True,1,0.7823596696590724,0.0017775801786715326
337,S_26_13_periods_logsum,True,1,0.7816978843528586,0.0012326077358314163
338,D_102_13_periods_logmax,True,1,0.7816978787109023,0.0012326139733209568
344,B_36_6_periods_mean,True,1,0.7816978792058082,0.0012326127726586596
346,R_27_13_periods_sum,True,1,0.7816978894999995,0.0012326068513721187
352,D_112_1_periods_logfirst,True,1,0.7816978822742533,0.0012326106069737296
357,D_118_13_periods_sum,True,1,0.7816978792058071,0.0012326123680559908
359,D_121_13_periods_sum,True,1,0.7816978833630501,0.0012326098218159531
360,D_122_13_periods_sum,True,1,0.7816978837589756,0.001232609413252933
336,S_25_13_periods_std,True,1,0.7816978828681478,0.0012326106231085238
361,D_123_13_periods_logmax,True,1,0.7816978830661017,0.001232610173716075
366,D_129_13_periods_sum,True,1,0.7816978827691532,0.0012326098534472876
371,D_132_13_periods_std,True,1,0.7816978806905411,0.0012326113219504108
372,D_133_13_periods_logmax,True,1,0.7816978774241445,0.0012326135700189192
379,D_139_13_periods_logmax,True,1,0.7816978836599986,0.0012326098732092319
381,D_141_13_periods_logmax,True,1,0.7816978796017384,0.001232612369366525
389,B_38_2.0_13_periods_mean,True,1,0.7816978812844193,0.0012326108827456508
391,B_38_4.0_13_periods_std,True,1,0.781697885243698,0.0012326084379930223
400,D_117_1.0_13_periods_max,True,1,0.7816978829671049,0.0012326095694386633
365,D_128_13_periods_min,True,1,0.7816978828681512,0.001232610072557072
335,S_24_3_periods_max,True,1,0.7816978823732338,0.0012326097644547787
322,B_33_3_periods_sum,True,1,0.7816978799976615,0.001232611538082886
309,B_29_13_periods_loglast/first,True,1,0.781757206370007,0.0013336677392637563
248,S_5_13_periods_logmedian,True,1,0.7825540024647129,0.0016788584252732293
252,S_7_13_periods_max,True,1,0.7825127360269821,0.0016266144658388351
255,D_56_13_periods_sum,True,1,0.7826181093591187,0.0018841446276578189
258,S_9_13_periods_logmean,True,1,0.7825372221095128,0.0016373525874322703
259,B_14_6_periods_min,True,1,0.7822639277334686,0.0019461950940194315
264,S_11_13_periods_min,True,1,0.7822035408187671,0.0018855455394616346
265,D_62_13_periods_mean,True,1,0.7822035427984209,0.001885547569340815
266,D_65_6_periods_logmax,True,1,0.782256683540109,0.0018403984617551066
269,B_20_3_periods_logmean,True,1,0.7820130323323629,0.0017899104247393926
270,S_12_13_periods_min,True,1,0.7820130309466,0.0017899010658574766
273,B_21_13_periods_logmean,True,1,0.7821725669581345,0.00165912031127183
275,B_22_6_periods_logmean,True,1,0.7821734643428189,0.0016592124923021988
276,D_70_13_periods_logmean,True,1,0.7820989062093057,0.0017183624393332492
278,D_72_13_periods_logmax,True,1,0.7820988240535689,0.001718435074756989
279,S_15_13_periods_max,True,1,0.7822806246392577,0.0015919115657717913
283,D_74_3_periods_logmean,True,1,0.7821466817257852,0.00157559266331372
289,B_26_3_periods_logmax,True,1,0.7819374842758117,0.001215518188953839
294,S_16_13_periods_logmean,True,1,0.7819374815043186,0.0012155189178132625
297,R_11_13_periods_mean,True,1,0.7819374718039976,0.001215525392380517
93,D_83,True,1,0.7817326565847289,0.0019744069261619624
90,R_12,True,1,0.7822139447264409,0.0017913350728667571
214,D_66_1.0,True,1,0.7827915075474071,0.0020582734060853175
46,D_60,True,1,0.7787491783431542,0.0026831020747692088
25,R_3,True,1,0.7726108278454834,0.0019905230278938423
26,D_52,True,1,0.773795159199703,0.0024786083175368143
27,P_3,True,1,0.7737670091192708,0.0024103007537770523
29,D_53,True,1,0.7744069372302167,0.001957490871028301
30,S_5,True,1,0.774819912798599,0.002479376212341993
31,B_11,True,1,0.7756137393442358,0.00245897839958873
33,D_54,True,1,0.7762915808573094,0.0020943570935210852
79,D_79,True,1,0.7816468372369372,0.002160331403876141
35,S_7,True,1,0.7759598425094547,0.002058366118600498
37,S_8,True,1,0.7767226304154744,0.002113294933545166
39,D_56,True,1,0.7771905319789485,0.002594827385361533
41,R_5,True,1,0.7776258672224285,0.002094808236396964
24,B_9,True,1,0.7722574909791962,0.001309389124813968
43,S_9,True,1,0.7774815968285216,0.0030503679905383783
45,D_59,True,1,0.778080610532282,0.0027680502694365982
74,R_7,True,1,0.7805328963702138,0.002594175910838867
73,B_24,True,1,0.780660426437983,0.0027260113668573314
49,S_11,True,1,0.7784933483871336,0.0022989072182051807
50,D_62,True,1,0.7792351579220974,0.002004441410435823
52,B_16,True,1,0.7792982466642346,0.002482250365691375
53,B_17,True,1,0.7796229501476513,0.0018945207710133725
54,B_18,True,1,0.7796654954097884,0.0024424840210929446
56,B_20,True,1,0.7799958946966575,0.00256501118314798
57,S_12,True,1,0.7799077380388375,0.002672090347146195
62,B_22,True,1,0.7801796366571178,0.002130788805368533
64,D_71,True,1,0.7801778606772166,0.0029510375216785624
44,B_14,True,1,0.7780902424407345,0.0028861682787398595
23,D_51,True,1,0.7723911365565981,0.0018322733565427146
66,S_15,True,1,0.7802933205448417,0.002673579241689844
11,B_4,True,1,0.7572786352038868,0.0012612337655499445
10,D_44,True,1,0.754083419172928,0.0011659039540336375
14,R_2,True,1,0.7629532940163586,0.0014067523012290663
9,D_43,True,1,0.7522412526047287,0.001652876512467868
8,D_42,True,1,0.7492454043554977,0.0016096930350414014
15,D_46,True,1,0.7638229705821392,0.001296061600067188
16,D_47,True,1,0.7653403041355348,0.001886303525382181
85,R_11,True,1,0.7822973582584378,0.0021701012111299683
7,B_3,True,1,0.7456039310438842,0.0008247361638876989
13,B_5,True,1,0.7608205466386613,0.0015832059061107475
6,D_41,True,1,0.7428738629535299,0.0016689247948644798
5,S_3,True,1,0.7373864483445283,0.001983241073681488
18,D_49,True,1,0.7679628154526801,0.0029324326002859147
4,R_1,True,1,0.7275888101548234,0.00482286149836199
3,B_2,True,1,0.7004069371926674,0.03693013675136021
20,B_7,True,1,0.7702215539578809,0.0017114009795025304
2,B_1,True,1,0.6405604250379953,0.06812986087415003
1,D_39,True,1,0.5309436889050189,0.02739802919249465
22,D_50,True,1,0.7706957624826989,0.0022033451518781205
17,D_48,True,1,0.7672784687134018,0.003020783360961802
12,D_45,True,1,0.7593699966006908,0.000747452616341579
261,D_60_6_periods_logmin,False,2,0.7822909401768656,0.001807996565074728
63,D_70,False,3,0.7795116472833169,0.002055085734241039
28,B_10,False,4,0.7747843869734496,0.0028855915842437066
188,D_114_1.0,False,5,0.782405193008773,0.002138813610010321
383,D_143_13_periods_logmax,False,6,0.7816978833630374,0.001232607975686044
355,D_113_13_periods_logmax,False,7,0.7816978796017476,0.001232613673827973
148,D_118,False,8,0.7825766274171186,0.0023558643739091606
390,B_38_3.0_13_periods_std,False,9,0.7816978806905341,0.0012326109443431604
351,B_39_13_periods_sum,False,10,0.7816978790078531,0.0012326121285208985
407,D_120_1.0_13_periods_max,False,11,0.781697877622102,0.0012326138135164812
293,R_9_13_periods_std,False,12,0.7819374814053288,0.0012155198961154164
163,D_133,False,13,0.7827591345136767,0.001704402038569747
77,B_26,False,14,0.7812725984094884,0.0020143148540625096
183,B_38_4.0,False,15,0.7826369052676039,0.0016722886851834725
55,B_19,False,16,0.7798516868273423,0.0022043375617204347
181,B_38_2.0,False,17,0.782385986605699,0.0018992884186685122
288,B_25_3_periods_min,False,18,0.7819374016251733,0.001215554308555845
280,B_23_3_periods_logmean,False,19,0.782044683783242,0.0016541353452626392
358,D_119_13_periods_sum,False,20,0.7816978767312694,0.0012326156734689755
417,D_64_O_13_periods_sum,False,21,0.781697878908861,0.001232613193093727
305,R_14_13_periods_logmax,False,22,0.7817503462642019,0.001336152583192381
340,D_104_13_periods_logmax,False,23,0.7816978824722014,0.001232609764477895
253,B_12_13_periods_logsum,False,24,0.7826181942863977,0.0018841255243409315
286,R_7_6_periods_logmax,False,25,0.7819373902421597,0.0012155601334702646
67,B_23,False,26,0.7800243709330082,0.0019522968363424689
292,R_8_13_periods_logmean,False,27,0.7819374832859941,0.0012155186093954378
48,B_15,False,28,0.7786225863963995,0.002432422318127773
81,R_9,False,29,0.7813198806847035,0.0020501902805354624
203,D_63_CL,False,30,0.7821016713804632,0.0026084463735741217
230,D_44_6_periods_logmean,False,31,0.7827711469621312,0.0020792478093002737
268,B_19_3_periods_logmean,False,32,0.7820054312445104,0.00178915121713486
367,B_41_6_periods_logmax,False,33,0.781697879799726,0.0012326132688857258
38,D_55,False,34,0.7766235546423756,0.0020870487708460703
374,D_134_13_periods_std,False,35,0.7816978789088691,0.0012326137736577477
134,B_36,False,36,0.7827453260613745,0.002093689866653823
105,B_31,False,37,0.7818023445694877,0.001980043569757847
88,D_82,False,38,0.7818189506304378,0.002039006485220293
51,D_65,False,39,0.7789471686716174,0.002572959853910042
65,D_72,False,40,0.7801109149915082,0.0028668690683111846
72,D_76,False,41,0.7807704235139623,0.00254214530726232
42,D_58,False,42,0.7778357749116702,0.002763880903218375
123,S_22,False,43,0.7828743442630351,0.001766688518213265
198,D_120_0.0,False,44,0.7827160841254708,0.002136129293518607
302,R_12_6_periods_min,False,45,0.7819378349719309,0.001215314576217597
59,S_13,False,46,0.7800859898033219,0.002803234571971922
175,D_144,False,47,0.78186105573871,0.001241974114589593
353,B_40_3_periods_logmean,False,48,0.7816978816803506,0.0012326107832498383
349,D_110_13_periods_sum,False,49,0.7816978788099003,0.0012326137891504412
