,feature,support,ranking,mean score,std score
0,P_2,True,1,0.6372351068350008,0.002032711524976413
223,B_2_3_periods_logmean,True,1,0.7781674356487852,0.0009446223841359469
224,R_1_13_periods_logmean,True,1,0.7773405970327132,0.0014461775776896458
225,S_3_13_periods_max,True,1,0.7769476162731634,0.0026124605970724466
226,D_41_3_periods_logmax,True,1,0.777243569231629,0.0019541981847366716
227,B_3_3_periods_logmax,True,1,0.7775146917117863,0.002944460738838056
228,D_42_13_periods_max,True,1,0.7777565099162682,0.0018495291311729743
229,D_43_13_periods_max,True,1,0.7776971102487544,0.002364786559882849
230,D_44_6_periods_logmean,True,1,0.7773592206949097,0.0019006559779460868
231,D_45_13_periods_logmedian,True,1,0.7772873213521447,0.0025358514437671944
232,B_5_6_periods_logmax,True,1,0.7770627606301894,0.001569650528198762
222,D_39_6_periods_max,True,1,0.7777180582580736,0.0006432052286963974
233,R_2_6_periods_max,True,1,0.7773810967025956,0.001436258160775506
235,D_47_13_periods_min,True,1,0.7778243430174949,0.0016143816421755662
236,D_48_3_periods_mean,True,1,0.7770789060848212,0.0008764462108062184
238,B_6_13_periods_min,True,1,0.7783299622151345,0.0015546497509159088
241,D_51_13_periods_logsum,True,1,0.7787428599691232,0.002506850328575567
242,B_9_3_periods_min,True,1,0.7770249953823118,0.0015405779938891943
243,R_3_13_periods_mean,True,1,0.7778340080344314,0.0020961535454758597
244,D_52_13_periods_min,True,1,0.7779307919858738,0.0019395543630086917
245,P_3_6_periods_min,True,1,0.7784073105214652,0.0021315077479117303
246,B_10_6_periods_min,True,1,0.777789322181287,0.001680890104463887
248,S_5_13_periods_logmedian,True,1,0.7775855374552942,0.001609750726325616
234,D_46_13_periods_mean,True,1,0.7772106825288938,0.0010122240329501306
212,D_64_U,True,1,0.7770153782917083,0.0015565714665591876
210,D_64_O,True,1,0.7778318803786614,0.0008278005397877804
204,D_63_CO,True,1,0.7776138348210608,0.0020482008672068975
125,S_24,True,1,0.7785823798796684,0.0011147845099398722
127,S_26,True,1,0.777774231793287,0.0015500088695733648
131,D_105,True,1,0.7781874296807962,0.002641559350341361
135,B_37,True,1,0.7779431116267854,0.0017675927025218234
137,R_27,True,1,0.7777627472255193,0.0017963820824021778
140,D_110,True,1,0.7782107701996038,0.00167662062634135
141,D_111,True,1,0.7776425292496876,0.001063453386041542
144,B_40,True,1,0.7771671775716618,0.0006907481957879964
147,D_115,True,1,0.7782085879381568,0.0014085747704981944
149,D_119,True,1,0.778029443594074,0.0018073080128900355
150,D_121,True,1,0.7780068083304221,0.001941860550256014
151,D_122,True,1,0.7779081147309458,0.0007518335823202905
153,D_124,True,1,0.7786349352069208,0.0012418583486046948
156,D_128,True,1,0.7783662745711557,0.0012592014612787354
157,D_129,True,1,0.7776882682981512,0.00022061565160377022
161,D_131,True,1,0.7781558376442053,0.0013049938755253423
162,D_132,True,1,0.7787642071891456,0.0021599951899267758
163,D_133,True,1,0.7775262713712444,0.001894671899229479
165,D_134,True,1,0.7784666280400213,0.0015091489160425405
167,D_136,True,1,0.7774319492581954,0.0014159311734955767
171,D_140,True,1,0.7782481387821787,0.0013290645908273068
