,feature,support,ranking,mean score,std score
0,P_2,True,1,0.5239156539040739,0.0029937311956435694
1,D_39,True,1,0.6138596798427378,0.004221925635018313
2,B_1,True,1,0.6349331487854791,0.006447810778529219
3,B_2,True,1,0.6488053967018211,0.002581816836873633
4,R_1,True,1,0.677890754109673,0.002082346377332494
5,S_3,True,1,0.6849939889971162,0.0052985662782489545
6,D_41,True,1,0.6932661373305544,0.004972222051499429
7,B_3,True,1,0.7040122677744015,0.007048576124978132
8,D_42,True,1,0.7061857298561355,0.004277626399628894
9,D_43,True,1,0.713826277943619,0.0037427459163268863
10,D_44,True,1,0.7207114108399956,0.00212230626738777
11,B_4,True,1,0.7242913660915877,0.0015177260532785572
12,D_45,True,1,0.7320983191984485,0.0015565537402052797
13,B_5,True,1,0.735086151927925,0.0023579309996062422
14,R_2,True,1,0.7376290005528648,0.0026216354375478853
15,D_46,True,1,0.7374739182113965,0.003583059224033182
16,D_47,True,1,0.739022252903329,0.003305123694173771
17,D_48,True,1,0.7387599068735451,0.0021771857334929347
18,D_49,False,212,0.7403204567584418,0.002162085522790196
19,B_6,False,66,0.7420530724714465,0.002134865306478112
20,B_7,True,1,0.7441704798079924,0.0025985322886371886
21,B_8,True,1,0.7465940835015272,0.002210370853784844
22,D_50,False,213,0.7460195009130206,0.0022681284603531856
23,D_51,True,1,0.7464520310731549,0.0015616878218959929
24,B_9,True,1,0.7460292754806426,0.0018509042651317067
25,R_3,True,1,0.7479827032622972,0.0018836277120119946
26,D_52,False,5,0.7485963468709166,0.0024804608865359153
27,P_3,True,1,0.7490246920300911,0.004061104216435698
28,B_10,False,31,0.7491616925258431,0.0032388492737878798
29,D_53,False,208,0.7504490569568533,0.0030955693422936577
30,S_5,False,23,0.7507566833266387,0.0018608970658551653
31,B_11,True,1,0.7522081114247808,0.0035324984565456834
32,S_6,False,109,0.7519754727259962,0.0028101723825885976
33,D_54,True,1,0.7526331303782913,0.0009932203408920225
34,R_4,True,1,0.7547548058230802,0.0023695848204593013
35,S_7,True,1,0.7539069056122527,0.0020539836802344505
36,B_12,False,28,0.7533124196922332,0.0024495775185089854
37,S_8,True,1,0.7535079420943877,0.002146078752198964
38,D_55,False,62,0.7544784003271885,0.002293480462348548
39,D_56,False,209,0.7553078530942231,0.0015218754755455361
40,B_13,False,178,0.7538551312225368,0.0021132648938468725
41,R_5,True,1,0.7548254249444493,0.002407935832019547
42,D_58,False,27,0.7563822000420718,0.001203864681903045
43,S_9,False,161,0.7553058389452723,0.0024172467312337433
44,B_14,False,68,0.7564584417655738,0.002178900599867643
45,D_59,False,13,0.7556871973029045,0.0011105817592636028
46,D_60,False,159,0.7559591341639049,0.0017335604894459116
47,D_61,True,1,0.7573704843491749,0.0017786397639345326
48,B_15,False,102,0.7564995770391632,0.0021269044076512294
49,S_11,False,47,0.7569905429661221,0.0017679490350799236
50,D_62,False,18,0.7574623316134892,0.0024493864497204575
51,D_65,True,1,0.7569497834714336,0.0012635359886660237
52,B_16,False,160,0.7577063962093631,0.0004975840884215993
53,B_17,False,121,0.7560664952342878,0.0014496469630702572
54,B_18,True,1,0.7573851363746107,0.0013014041264999617
55,B_19,False,39,0.7567446853379517,0.0009495638216485197
56,B_20,False,56,0.7569836173827991,0.0018841121368880834
57,S_12,False,54,0.7565165370173492,0.002012396440177401
58,R_6,True,1,0.757909010417229,0.0009313431145930536
59,S_13,False,35,0.7578557053613617,0.0007991714635324461
60,B_21,False,40,0.757687236322084,0.0011222466870540106
61,D_69,False,80,0.7570068122155349,0.0017103542435137652
62,B_22,True,1,0.7560494725489553,0.0006207240113711935
63,D_70,False,12,0.7574730016135544,0.0024098944201238225
64,D_71,False,113,0.7575859285229218,0.0011290744808723449
65,D_72,False,46,0.7579147458922408,0.0020245161544790486
66,S_15,False,15,0.7568705613185153,0.0006895155188441928
67,B_23,True,1,0.7572547279575973,0.0010378304781156762
68,D_73,False,282,0.7580546233226505,0.0009222876297353168
69,P_4,False,45,0.758710089993991,0.0017150622879402765
70,D_74,False,43,0.757425205898933,0.0010388818384959703
71,D_75,True,1,0.7584414615985675,0.0009425933652727734
72,D_76,False,252,0.7566754805354953,0.0010166500586939707
73,B_24,False,41,0.7564244515620786,0.001013009262649617
74,R_7,False,8,0.7567708917360715,0.0009032646212750392
75,D_77,False,117,0.7563708079184205,0.0012222963114016843
76,B_25,False,122,0.7574259999674942,0.00078300316917858
77,B_26,True,1,0.7570782719561578,0.0019328763162657354
78,D_78,False,55,0.7576473565898473,0.0009533887396135917
79,D_79,True,1,0.7575011195524636,0.0014803629556353341
80,R_8,False,71,0.7564986827510012,0.002104694474570264
81,R_9,False,222,0.7565023622449809,0.0015841195577366617
82,S_16,False,58,0.7573127275473014,0.0005386668598096926
83,D_80,False,116,0.757013973499844,0.001488194844113056
84,R_10,False,36,0.7587507965050054,0.0018399073691346439
85,R_11,False,63,0.7580661532070416,0.0011596656242744035
86,B_27,False,114,0.757978262031275,0.0007186251451940365
